k, id_centroide, dim1, dim2, dim3, dim4, 
1, 0, 5.843333, 3.054000, 3.758667, 1.198667, 
2, 0, 6.301031, 2.886598, 4.958763, 1.695876, 
2, 1, 5.005660, 3.360377, 1.562264, 0.288679, 
3, 0, 5.006000, 3.418000, 1.464000, 0.244000, 
3, 1, 5.901613, 2.748387, 4.393548, 1.433871, 
3, 2, 6.850000, 3.073684, 5.742105, 2.071053, 
4, 0, 6.293617, 2.900000, 4.951064, 1.729787, 
4, 1, 5.580000, 2.633333, 3.986667, 1.233333, 
4, 2, 5.006000, 3.418000, 1.464000, 0.244000, 
4, 3, 7.086957, 3.126087, 6.013043, 2.143478, 
5, 0, 5.255556, 3.670370, 1.503704, 0.288889, 
5, 1, 6.912500, 3.100000, 5.846875, 2.131250, 
5, 2, 5.529630, 2.622222, 3.940741, 1.218519, 
5, 3, 4.713043, 3.121739, 1.417391, 0.191304, 
5, 4, 6.236585, 2.858537, 4.807317, 1.621951, 
6, 0, 7.475000, 3.125000, 6.300000, 2.050000, 
6, 1, 5.006000, 3.418000, 1.464000, 0.244000, 
6, 2, 6.317241, 2.924138, 4.644828, 1.506897, 
6, 3, 6.560870, 3.069565, 5.526087, 2.152174, 
6, 4, 5.515385, 2.607692, 3.930769, 1.207692, 
6, 5, 5.900000, 2.650000, 5.100000, 1.840000, 
7, 0, 4.900000, 2.500000, 4.500000, 1.700000, 
7, 1, 6.196552, 2.882759, 5.182759, 1.934483, 
7, 2, 6.423810, 2.919048, 4.604762, 1.438095, 
7, 3, 7.122727, 3.113636, 6.031818, 2.131818, 
7, 4, 5.242857, 2.371429, 3.442857, 1.028571, 
7, 5, 5.665000, 2.735000, 4.115000, 1.275000, 
7, 6, 5.006000, 3.418000, 1.464000, 0.244000, 
8, 0, 6.529167, 3.058333, 5.508333, 2.162500, 
8, 1, 5.137500, 3.456250, 1.481250, 0.293750, 
8, 2, 7.475000, 3.125000, 6.300000, 2.050000, 
8, 3, 4.433333, 3.000000, 1.233333, 0.200000, 
8, 4, 6.207692, 2.853846, 4.746154, 1.564103, 
8, 5, 4.800000, 3.156250, 1.487500, 0.187500, 
8, 6, 5.508000, 2.600000, 3.908000, 1.204000, 
8, 7, 5.391667, 3.925000, 1.525000, 0.275000, 
9, 0, 6.329167, 2.933333, 4.541667, 1.429167, 
9, 1, 5.080000, 3.500000, 1.545000, 0.290000, 
9, 2, 4.511111, 3.177778, 1.300000, 0.200000, 
9, 3, 4.836364, 3.009091, 1.454545, 0.181818, 
9, 4, 5.483333, 2.591667, 3.904167, 1.200000, 
9, 5, 6.568182, 3.086364, 5.536364, 2.163636, 
9, 6, 6.027778, 2.733333, 5.027778, 1.794444, 
9, 7, 7.475000, 3.125000, 6.300000, 2.050000, 
9, 8, 5.490000, 3.920000, 1.460000, 0.260000, 
10, 0, 4.500000, 2.300000, 1.300000, 0.300000, 
10, 1, 5.381250, 3.818750, 1.518750, 0.281250, 
10, 2, 4.977273, 3.313636, 1.504545, 0.236364, 
