epochs,lr,sigma,Tmatriz,attr1,attr2,bmu_index
5,0.1000,2.0000,2,0.06779661,0.04166667,1
5,0.1000,2.0000,2,0.06779661,0.04166667,1
5,0.1000,2.0000,2,0.05084746,0.04166667,1
5,0.1000,2.0000,2,0.08474576,0.04166667,1
5,0.1000,2.0000,2,0.06779661,0.04166667,1
5,0.1000,2.0000,2,0.11864407,0.12500000,1
5,0.1000,2.0000,2,0.06779661,0.08333333,1
5,0.1000,2.0000,2,0.08474576,0.04166667,1
5,0.1000,2.0000,2,0.06779661,0.04166667,1
5,0.1000,2.0000,2,0.08474576,0.00000000,1
5,0.1000,2.0000,2,0.08474576,0.04166667,1
5,0.1000,2.0000,2,0.10169492,0.04166667,1
5,0.1000,2.0000,2,0.06779661,0.00000000,1
5,0.1000,2.0000,2,0.01694915,0.00000000,1
5,0.1000,2.0000,2,0.03389831,0.04166667,1
5,0.1000,2.0000,2,0.08474576,0.12500000,1
5,0.1000,2.0000,2,0.05084746,0.12500000,1
5,0.1000,2.0000,2,0.06779661,0.08333333,1
5,0.1000,2.0000,2,0.11864407,0.08333333,1
5,0.1000,2.0000,2,0.08474576,0.08333333,1
5,0.1000,2.0000,2,0.11864407,0.04166667,1
5,0.1000,2.0000,2,0.08474576,0.12500000,1
5,0.1000,2.0000,2,0.00000000,0.04166667,1
5,0.1000,2.0000,2,0.11864407,0.16666667,1
5,0.1000,2.0000,2,0.15254237,0.04166667,1
5,0.1000,2.0000,2,0.10169492,0.04166667,1
5,0.1000,2.0000,2,0.10169492,0.12500000,1
5,0.1000,2.0000,2,0.08474576,0.04166667,1
5,0.1000,2.0000,2,0.06779661,0.04166667,1
5,0.1000,2.0000,2,0.10169492,0.04166667,1
5,0.1000,2.0000,2,0.10169492,0.04166667,1
5,0.1000,2.0000,2,0.08474576,0.12500000,1
5,0.1000,2.0000,2,0.08474576,0.00000000,1
5,0.1000,2.0000,2,0.06779661,0.04166667,1
5,0.1000,2.0000,2,0.08474576,0.00000000,1
5,0.1000,2.0000,2,0.03389831,0.04166667,1
5,0.1000,2.0000,2,0.05084746,0.04166667,1
5,0.1000,2.0000,2,0.08474576,0.00000000,1
5,0.1000,2.0000,2,0.05084746,0.04166667,1
5,0.1000,2.0000,2,0.08474576,0.04166667,1
5,0.1000,2.0000,2,0.05084746,0.08333333,1
5,0.1000,2.0000,2,0.05084746,0.08333333,1
5,0.1000,2.0000,2,0.05084746,0.04166667,1
5,0.1000,2.0000,2,0.10169492,0.20833333,1
5,0.1000,2.0000,2,0.15254237,0.12500000,1
