epochs,lr,sigma,umatrix_0_0,umatrix_0_1,umatrix_0_2,umatrix_0_3,umatrix_0_4,umatrix_0_5,umatrix_0_6,umatrix_0_7,umatrix_0_8,umatrix_0_9,umatrix_1_0,umatrix_1_1,umatrix_1_2,umatrix_1_3,umatrix_1_4,umatrix_1_5,umatrix_1_6,umatrix_1_7,umatrix_1_8,umatrix_1_9,umatrix_2_0,umatrix_2_1,umatrix_2_2,umatrix_2_3,umatrix_2_4,umatrix_2_5,umatrix_2_6,umatrix_2_7,umatrix_2_8,umatrix_2_9,umatrix_3_0,umatrix_3_1,umatrix_3_2,umatrix_3_3,umatrix_3_4,umatrix_3_5,umatrix_3_6,umatrix_3_7,umatrix_3_8,umatrix_3_9,umatrix_4_0,umatrix_4_1,umatrix_4_2,umatrix_4_3,umatrix_4_4,umatrix_4_5,umatrix_4_6,umatrix_4_7,umatrix_4_8,umatrix_4_9,umatrix_5_0,umatrix_5_1,umatrix_5_2,umatrix_5_3,umatrix_5_4,umatrix_5_5,umatrix_5_6,umatrix_5_7,umatrix_5_8,umatrix_5_9,umatrix_6_0,umatrix_6_1,umatrix_6_2,umatrix_6_3,umatrix_6_4,umatrix_6_5,umatrix_6_6,umatrix_6_7,umatrix_6_8,umatrix_6_9,umatrix_7_0,umatrix_7_1,umatrix_7_2,umatrix_7_3,umatrix_7_4,umatrix_7_5,umatrix_7_6,umatrix_7_7,umatrix_7_8,umatrix_7_9,umatrix_8_0,umatrix_8_1,umatrix_8_2,umatrix_8_3,umatrix_8_4,umatrix_8_5,umatrix_8_6,umatrix_8_7,umatrix_8_8,umatrix_8_9,umatrix_9_0,umatrix_9_1,umatrix_9_2,umatrix_9_3,umatrix_9_4,umatrix_9_5,umatrix_9_6,umatrix_9_7,umatrix_9_8,umatrix_9_9
5,0.1000,2.0000,0.17790973,0.15275494,0.14193284,0.12488222,0.12882632,0.16516231,0.11507638,0.13320072,0.20375615,0.19507365,0.14876940,0.14343502,0.14278929,0.12065711,0.12364161,0.17818034,0.15175821,0.13810390,0.16013644,0.21700174,0.14054424,0.14274331,0.13162950,0.11947664,0.14618629,0.22558430,0.23867633,0.19787361,0.19765051,0.16667291,0.17073037,0.15476179,0.16313091,0.19397999,0.22648301,0.24183132,0.21038482,0.16102392,0.17310595,0.21846637,0.26031414,0.26136458,0.24067988,0.22194552,0.16837462,0.18326256,0.17763965,0.10916482,0.13647051,0.16799734,0.26007333,0.21738656,0.24112971,0.15029825,0.13318897,0.12620027,0.09463831,0.12951697,0.26274977,0.16062030,0.12967774,0.25097795,0.12264815,0.13627831,0.22239317,0.14040640,0.15022682,0.14286645,0.12350886,0.31558853,0.25697689,0.15269861,0.18907021,0.12770678,0.22099600,0.20397145,0.18308327,0.17051250,0.15781394,0.17985306,0.34403677,0.32026788,0.16615566,0.23442067,0.18486424,0.21707149,0.15888377,0.16451324,0.19526332,0.18487206,0.42063876,0.36149228,0.21682280,0.17851217,0.18406104,0.17462101,0.26182016,0.16319811,0.18862213,0.17291746
5,0.1000,4.0000,0.05404410,0.07335612,0.08155826,0.09271978,0.09514509,0.09229287,0.09993961,0.09914481,0.08127597,0.08095468,0.07868369,0.08873082,0.08640107,0.09134550,0.09456072,0.09186311,0.09613907,0.09734073,0.08590075,0.07266044,0.13525890,0.12969046,0.11443379,0.10049195,0.09521030,0.09230506,0.09411706,0.09689997,0.08913089,0.08256068,0.16097462,0.16307131,0.15803339,0.12584575,0.09851795,0.08819558,0.08784944,0.09004435,0.08615747,0.08435252,0.12311726,0.15074885,0.18114831,0.16519131,0.12733621,0.10175643,0.09007792,0.08347370,0.07613119,0.07356935,0.07478658,0.10423204,0.15622936,0.18245821,0.17306367,0.14537866,0.11652215,0.09068614,0.07077562,0.06451490,0.05230767,0.06959871,0.10941904,0.14943493,0.17958073,0.18550097,0.16354316,0.12719936,0.09250830,0.08159533,0.04736654,0.05569919,0.07428770,0.10048679,0.13383269,0.16758950,0.18104532,0.16472241,0.14111369,0.13423199,0.04280901,0.04781538,0.05577826,0.06616659,0.07875374,0.11388549,0.14167853,0.15015980,0.14770400,0.15258130,0.03472156,0.03861067,0.04844655,0.05394366,0.06001634,0.07963378,0.11707393,0.11461000,0.12689464,0.11094395
5,0.1000,6.0000,0.03446503,0.05743270,0.06985325,0.07022877,0.06814032,0.07268059,0.07836265,0.07463386,0.05784589,0.05203610,0.04709402,0.05850667,0.07198037,0.07517868,0.07365213,0.07606355,0.07844902,0.07348526,0.06093204,0.05129220,0.05560164,0.06484972,0.07821848,0.08322582,0.08215763,0.08202305,0.08138085,0.07636111,0.06617911,0.06126185,0.07822936,0.08184306,0.08922931,0.09021235,0.08517481,0.08007655,0.07731504,0.07511248,0.06957006,0.06686821,0.12399986,0.12287371,0.12454677,0.11725631,0.10266734,0.08610452,0.07541052,0.07155879,0.06840856,0.06709760,0.15917135,0.15999607,0.16896364,0.16519138,0.14729083,0.11908766,0.09279693,0.07712878,0.06797967,0.06446314,0.13314023,0.14126258,0.16374428,0.17942231,0.18144313,0.16163631,0.12766707,0.09565917,0.07308830,0.06487700,0.07797059,0.08924853,0.11154122,0.13338291,0.15797571,0.17208148,0.15274472,0.11342457,0.07962400,0.06673283,0.04771199,0.05726054,0.06966141,0.07828402,0.10868666,0.14814162,0.15710683,0.12357349,0.08153399,0.06484846,0.03150935,0.05067247,0.05708932,0.05850052,0.08430429,0.13679878,0.16273674,0.13251859,0.08127064,0.04720684
5,0.3000,2.0000,0.07854596,0.08066805,0.05841933,0.09475512,0.20518201,0.23907269,0.16199093,0.10153437,0.10379507,0.10109067,0.08815914,0.06812108,0.07086344,0.11225250,0.22747317,0.23022944,0.14298312,0.12307260,0.13224355,0.15339139,0.06408305,0.06473086,0.07541141,0.15671096,0.25783532,0.19356436,0.12702723,0.14915585,0.14628262,0.14529002,0.05252094,0.05535145,0.08105624,0.20370077,0.25219607,0.13783346,0.11993431,0.13137300,0.14883874,0.10942961,0.05645472,0.05615386,0.09504197,0.23643449,0.24223159,0.11819167,0.11383285,0.13212553,0.12290314,0.13063015,0.06969706,0.06452867,0.11069873,0.25616498,0.24377391,0.11329564,0.11646511,0.13789848,0.15014956,0.15982581,0.07651195,0.07688821,0.11193529,0.25186442,0.25487919,0.12372666,0.11583569,0.13411224,0.16051474,0.19435703,0.09305411,0.07556381,0.09300275,0.21495979,0.27712642,0.15885795,0.12372505,0.13964151,0.15038122,0.18117629,0.08001641,0.08167092,0.08447158,0.15667386,0.26431409,0.21436142,0.15152618,0.14849776,0.13607521,0.12597372,0.06837804,0.07805282,0.06991678,0.13059553,0.25297585,0.25124520,0.17869240,0.14768000,0.11756749,0.10443850
5,0.3000,4.0000,0.04355265,0.05779594,0.06506390,0.09795066,0.19293083,0.20036319,0.11631159,0.07244704,0.05498258,0.05125667,0.05764349,0.06698479,0.08373559,0.13386180,0.21536490,0.19140626,0.11388250,0.08001408,0.06831728,0.06117615,0.06829794,0.07858657,0.11808731,0.19416816,0.23001523,0.16298510,0.09972448,0.08440720,0.08242014,0.08207247,0.07590696,0.09545553,0.16276736,0.22820338,0.18863390,0.10775941,0.07774102,0.08447253,0.08841147,0.08973183,0.13386503,0.16206690,0.23039840,0.23012453,0.14603355,0.08789667,0.07770953,0.08529284,0.08771355,0.08428284,0.26109893,0.26714165,0.26798158,0.20862600,0.13942635,0.10756104,0.09766765,0.09121080,0.08286707,0.07624195,0.25712265,0.23580206,0.20837131,0.16351478,0.13295784,0.12131505,0.11095266,0.09669209,0.08244244,0.07893615,0.12198639,0.13555737,0.14401165,0.12098532,0.10922847,0.11349797,0.11484130,0.10976012,0.09951852,0.09033566,0.06928205,0.10252736,0.12116824,0.10055798,0.08742057,0.10367545,0.11290105,0.11456368,0.10850980,0.09410565,0.05668859,0.10499752,0.12377502,0.07709301,0.07432730,0.11320243,0.10831208,0.11542674,0.10692579,0.07294912
5,0.3000,6.0000,0.05145769,0.05945506,0.05433020,0.07302796,0.09039492,0.07992392,0.06454737,0.07125325,0.08335593,0.08738548,0.10472233,0.09646881,0.07769241,0.08155355,0.08955389,0.08606555,0.07450247,0.08134299,0.09480587,0.09961450,0.20953314,0.18299912,0.14608081,0.11441786,0.09810550,0.09242159,0.09181945,0.09763552,0.10382236,0.11034118,0.22393311,0.22175391,0.21293304,0.16223589,0.11276549,0.09336084,0.09429756,0.09577371,0.09165033,0.09047497,0.13259359,0.16542598,0.21718676,0.19880264,0.13093659,0.09340877,0.09097732,0.08991416,0.07872456,0.07049498,0.07105000,0.10042210,0.17876262,0.21556007,0.15197765,0.09286552,0.08580825,0.09065952,0.08198962,0.07403159,0.06156299,0.07934626,0.14010571,0.20878087,0.18189167,0.10815162,0.08350309,0.08907088,0.08658410,0.08136771,0.06347566,0.07188926,0.11060087,0.18383823,0.20494098,0.13956033,0.09173245,0.08459588,0.08275841,0.08100863,0.05541914,0.05876089,0.07847811,0.14286722,0.19670566,0.15512915,0.09446634,0.07414803,0.06858219,0.06599087,0.03502468,0.04872768,0.06069017,0.11966421,0.18870608,0.16136014,0.09246156,0.06374835,0.05484806,0.04250895
5,0.5000,2.0000,0.10435858,0.11597407,0.15877718,0.14852710,0.12547418,0.10882011,0.11218274,0.24866576,0.24818467,0.14506864,0.09643409,0.11790872,0.12939491,0.14271480,0.13533954,0.10797049,0.12745495,0.23984958,0.24342703,0.13258352,0.12407979,0.12542095,0.14293015,0.13191694,0.13117421,0.11077103,0.13685270,0.25843893,0.22693534,0.10561062,0.15750860,0.15418811,0.12145449,0.12688048,0.12424100,0.11819840,0.15504192,0.27048087,0.20734858,0.09964268,0.19924043,0.14461601,0.11317812,0.12707571,0.14059962,0.13699219,0.20965432,0.27299766,0.17314224,0.10769494,0.17192591,0.15169522,0.12405321,0.12791067,0.16617646,0.21238960,0.26878860,0.22793479,0.13544377,0.13146020,0.22132234,0.16534074,0.13117447,0.14439156,0.19285185,0.27458546,0.28597201,0.16519041,0.11972311,0.12088613,0.19497795,0.17559915,0.15192598,0.14619580,0.22052577,0.32648890,0.24433805,0.12061035,0.10841409,0.12398780,0.13783747,0.15080212,0.16499388,0.18744335,0.27360401,0.31052859,0.18402902,0.10101783,0.09911274,0.10799136,0.10160272,0.10738578,0.15248349,0.20140467,0.27480413,0.29647112,0.14893173,0.08581624,0.13096291,0.08272902
5,0.5000,4.0000,0.04312744,0.05741920,0.06520112,0.14071296,0.21819959,0.16508606,0.09522484,0.07274899,0.07572108,0.05944310,0.06095064,0.06530606,0.08782044,0.17184018,0.22610449,0.15681919,0.09719825,0.08635830,0.08684663,0.09036694,0.06131719,0.07175778,0.11833258,0.21385316,0.22385643,0.13239250,0.08629380,0.09141093,0.10192826,0.10999302,0.06606781,0.07981755,0.15275672,0.23655852,0.18085069,0.09859521,0.07846172,0.08932733,0.09610872,0.10428956,0.07383265,0.10885166,0.21222988,0.24941639,0.15111147,0.10483531,0.09703126,0.09264617,0.09115289,0.08851098,0.08777571,0.15272287,0.27071306,0.23827274,0.14107663,0.11133708,0.10599161,0.10215473,0.09414814,0.09449692,0.16235772,0.22876444,0.28064536,0.19823823,0.11848062,0.10888848,0.10225716,0.10348255,0.10766382,0.10354477,0.26127978,0.25943051,0.22319612,0.15315482,0.11890191,0.11590419,0.11123910,0.11172669,0.12356984,0.12996930,0.22152576,0.18125968,0.13916735,0.11739310,0.11135298,0.10278832,0.09792571,0.10762012,0.12705602,0.13176180,0.10756964,0.11724625,0.09652798,0.10229235,0.09975697,0.08614981,0.07490768,0.09085396,0.11965345,0.12822874
5,0.5000,6.0000,0.09212367,0.09407214,0.08382051,0.06429974,0.07441637,0.09562532,0.09790167,0.07140477,0.05104713,0.03944239,0.10467351,0.10326583,0.09107486,0.07858821,0.08628340,0.10167364,0.10174023,0.09434745,0.09650651,0.10535298,0.11479868,0.10952687,0.10323328,0.09971863,0.10165334,0.11174660,0.13314482,0.16652042,0.20631689,0.23967424,0.09821077,0.09700881,0.10031917,0.10042515,0.10203271,0.12084252,0.17627567,0.23785570,0.24476128,0.24730915,0.07727797,0.08258894,0.09222996,0.09240646,0.09427568,0.12713343,0.20479081,0.23167140,0.16816805,0.12950565,0.07722268,0.08371569,0.09054041,0.08369120,0.08576556,0.14031022,0.22299296,0.19416866,0.10279284,0.06793051,0.08376504,0.09307990,0.09394239,0.08126682,0.09820369,0.17491748,0.22397038,0.15381602,0.08247656,0.06245546,0.09019398,0.09367376,0.09463508,0.09163786,0.13164688,0.20941674,0.20437633,0.12113856,0.07441023,0.06514791,0.07410380,0.07744267,0.08082357,0.09346256,0.14810234,0.20754927,0.16359941,0.08642807,0.06149613,0.05860046,0.05204386,0.05940522,0.06584724,0.08728990,0.15297681,0.20095809,0.14034466,0.06665609,0.05058537,0.03761997
10,0.1000,2.0000,0.04246374,0.05306488,0.05008306,0.07048895,0.09774627,0.12450973,0.14860533,0.11762331,0.05989222,0.05120180,0.05659112,0.05556566,0.05453670,0.08026546,0.11163045,0.13049918,0.14010246,0.11841472,0.10417431,0.03997984,0.06815091,0.06738088,0.07528564,0.10350749,0.12897817,0.12415135,0.13379277,0.15842034,0.14458490,0.13535809,0.14496412,0.14823544,0.15406978,0.15892545,0.20606088,0.15237244,0.16415760,0.19736812,0.22525222,0.24690235,0.18956205,0.19747010,0.20254315,0.22686194,0.21094700,0.19596955,0.17486137,0.19092696,0.19311506,0.20045161,0.18216117,0.20824615,0.21972982,0.19502604,0.18858556,0.15897127,0.13540080,0.13175088,0.14322981,0.09553295,0.15157701,0.15482527,0.16978722,0.14964597,0.14645525,0.14340569,0.13678500,0.14152288,0.11075798,0.08622376,0.09440357,0.12201928,0.15083107,0.13915618,0.13512523,0.13906446,0.15032600,0.14960131,0.13951863,0.11865471,0.08811479,0.13377990,0.16414401,0.15061511,0.13049978,0.13759440,0.13988140,0.14127591,0.13162955,0.11837643,0.12481831,0.14922183,0.17001827,0.18760594,0.12842688,0.12007899,0.13440322,0.12950675,0.12007726,0.10927110
