epochs,lr,sigma,umatrix_0_0,umatrix_0_1,umatrix_0_2,umatrix_0_3,umatrix_0_4,umatrix_1_0,umatrix_1_1,umatrix_1_2,umatrix_1_3,umatrix_1_4,umatrix_2_0,umatrix_2_1,umatrix_2_2,umatrix_2_3,umatrix_2_4,umatrix_3_0,umatrix_3_1,umatrix_3_2,umatrix_3_3,umatrix_3_4,umatrix_4_0,umatrix_4_1,umatrix_4_2,umatrix_4_3,umatrix_4_4
5,0.1000,2.0000,0.13622179,0.30395722,0.38599036,0.25491457,0.13107475,0.21150076,0.30806347,0.33124249,0.22726428,0.20858006,0.26071768,0.29183529,0.25975305,0.20041029,0.18098069,0.22150489,0.22079542,0.18061715,0.15986644,0.14778556,0.16782210,0.17642608,0.14466867,0.14146100,0.09949080
5,0.1000,4.0000,0.09127014,0.13663142,0.15447638,0.13684365,0.13007736,0.15896120,0.16790284,0.17431500,0.15360597,0.13289621,0.25826570,0.25216104,0.24101348,0.18530444,0.14456193,0.20974461,0.23384373,0.27270097,0.21399705,0.16357644,0.10583607,0.16532801,0.25421206,0.23548395,0.12102083
5,0.1000,6.0000,0.11677160,0.16088334,0.13770291,0.11144271,0.10270268,0.20138432,0.19285936,0.17047095,0.13582807,0.11702799,0.21676384,0.23123586,0.21632754,0.16394993,0.14240033,0.15321269,0.20339240,0.22408580,0.16104733,0.12928415,0.11264589,0.17980798,0.22805298,0.15426252,0.08605059
5,0.3000,2.0000,0.14865442,0.18166420,0.18312163,0.21907837,0.26857825,0.16640512,0.16750514,0.21012979,0.21067282,0.21238266,0.31150105,0.29696336,0.29039345,0.25639150,0.19870116,0.30347222,0.31722612,0.34799822,0.33062330,0.28571762,0.16976725,0.20472527,0.32475806,0.38406792,0.25168501
5,0.3000,4.0000,0.16842297,0.16600658,0.18282644,0.15871294,0.10961219,0.16391990,0.17145020,0.19235278,0.19764883,0.19157138,0.15895318,0.20703828,0.26630262,0.29203400,0.29950545,0.19187425,0.25103658,0.30658435,0.26182621,0.23576323,0.15401497,0.28906605,0.30784582,0.17535718,0.09992639
5,0.3000,6.0000,0.11343484,0.13167744,0.15142113,0.13305185,0.09165500,0.13009031,0.15213563,0.17169924,0.16112660,0.14531887,0.15794597,0.19744462,0.24382428,0.24983127,0.25138967,0.17607231,0.23151486,0.28075282,0.24175330,0.22650039,0.13782157,0.25025454,0.26222132,0.17250143,0.13028625
5,0.5000,2.0000,0.28822585,0.20603983,0.19342647,0.18634336,0.16425488,0.25167526,0.19493279,0.19366760,0.18837634,0.18035209,0.27621748,0.28319976,0.25565905,0.26423023,0.28319847,0.38620133,0.35793923,0.33553231,0.31625839,0.32695512,0.34790697,0.36493693,0.28993710,0.24467838,0.22276087
5,0.5000,4.0000,0.18818241,0.17123631,0.15340936,0.13483031,0.08818134,0.17665219,0.17934116,0.19701018,0.21056722,0.21967663,0.19617713,0.20808839,0.27146155,0.31950187,0.35084123,0.17196426,0.21500921,0.29912115,0.27897139,0.22610658,0.11792942,0.21113788,0.31371002,0.23573753,0.10165534
5,0.5000,6.0000,0.12295966,0.12730926,0.14453289,0.17077970,0.12804739,0.14119064,0.14899434,0.18886017,0.22457763,0.24431637,0.16448630,0.17857012,0.24254973,0.28523308,0.29011619,0.14834376,0.17887675,0.25928408,0.25451172,0.19656374,0.10798864,0.16486186,0.26575440,0.23242295,0.13201700
10,0.1000,2.0000,0.21580546,0.34700640,0.29932258,0.19174625,0.14935226,0.25829035,0.29224387,0.32333898,0.30309976,0.27953643,0.19280297,0.22534702,0.27318709,0.29408485,0.30384565,0.20149269,0.19943493,0.19763767,0.18376565,0.15909741,0.21778474,0.21290298,0.20071761,0.18389977,0.12406147
10,0.1000,4.0000,0.11073975,0.23649408,0.28282618,0.16581059,0.09866176,0.17553637,0.25963647,0.27502895,0.17704890,0.14652940,0.29599926,0.30682312,0.25647280,0.18150254,0.16829266,0.26914587,0.23457597,0.19614704,0.16376620,0.15338610,0.13138533,0.16164351,0.14889700,0.14664704,0.14782323
10,0.1000,6.0000,0.10519506,0.20226690,0.25474979,0.15798836,0.08961009,0.16283812,0.22887409,0.24896979,0.16763345,0.13344108,0.25405562,0.26887650,0.23785316,0.17241811,0.15097948,0.23321665,0.21171166,0.18248193,0.14613597,0.12869564,0.11970146,0.15898344,0.14150030,0.12310620,0.11199414
10,0.3000,2.0000,0.29631779,0.22463142,0.21357092,0.20657808,0.16560860,0.23601032,0.22437927,0.20875311,0.19804973,0.19225960,0.19094426,0.26348478,0.29773191,0.31175310,0.33268089,0.26655832,0.33897829,0.36140219,0.31673622,0.31727955,0.25572951,0.39833893,0.35107204,0.19084742,0.13894206
10,0.3000,4.0000,0.10228195,0.16956939,0.31974858,0.34398334,0.21395657,0.24949675,0.27519282,0.32960623,0.29927992,0.23045147,0.30879081,0.30688879,0.28507333,0.23231327,0.17825427,0.19197830,0.19828108,0.19368268,0.17899901,0.17758054,0.11598846,0.16538197,0.18756549,0.17706331,0.19137958
10,0.3000,6.0000,0.12714094,0.14468338,0.16798751,0.15076163,0.10642694,0.13475293,0.15614074,0.18383913,0.18862728,0.17904634,0.14643555,0.19123635,0.25261480,0.27471886,0.28221590,0.16096223,0.23052755,0.29575055,0.25049257,0.22262362,0.13470777,0.26020649,0.29728538,0.17727355,0.10842930
10,0.5000,2.0000,0.30750711,0.22835054,0.24364293,0.26652127,0.19528524,0.23107990,0.27402570,0.23662008,0.25140966,0.25492310,0.21493956,0.26631722,0.31841789,0.33632548,0.32531593,0.24833008,0.31712995,0.35497155,0.30102056,0.29854244,0.24236377,0.37061289,0.38281850,0.19261989,0.13762059
10,0.5000,4.0000,0.11431493,0.15561380,0.18686545,0.18724467,0.21069920,0.16561516,0.18180346,0.19044665,0.18339937,0.18264239,0.30287426,0.29734599,0.28368194,0.24124492,0.18057386,0.26604448,0.29163056,0.34359440,0.31504452,0.25101255,0.12416879,0.17941505,0.32653596,0.37518310,0.22975473
10,0.5000,6.0000,0.11197697,0.15837332,0.27661775,0.25617816,0.14268440,0.14486012,0.17334613,0.27022625,0.27608227,0.19652426,0.15592370,0.16857632,0.24853766,0.29695451,0.29186625,0.13810834,0.14671183,0.20243803,0.26202788,0.28695716,0.12373293,0.13080470,0.17145398,0.21358027,0.18318827
15,0.1000,2.0000,0.23510213,0.36863193,0.33290776,0.17444825,0.10541302,0.25363451,0.31137385,0.33269871,0.27518725,0.25035221,0.18655633,0.24779217,0.29321534,0.32529589,0.33622745,0.22704104,0.19833548,0.21161756,0.22965182,0.23802725,0.26086931,0.20475691,0.21433672,0.19624158,0.14461620
